,LBC Inventory List（02/17/2026）,,,,,,,
,10020106782,XP12-210FR(T6),Dallas,124.00,,,,
,10020106783,XP12-400FR(T8),Califonia,132.00,,,,
,10020106783,XP12-400FR(T8),TX AGED,45.00,,,,
,10020107533,LPL12-100(T11),CA AGED,28.00,,,,
,10020107533,LPL12-100(T11),TX AGED,2.00,,,,
,10020108921,LP12-45(T6),Califonia,75.00,,,,
,10020109210,XP12-400T8FR,CA AGED,225.00,,,,
,10020109210,XP12-400FR(T8),CA AGED,11.00,,,,
,10020109222,XP12-350T6FR,CA AGED,72.00,,,,
,10020109222,XP12-350FR T6,CA AGED,36.00,,,,
,10020111333,LP12-110T11,Califonia,108.00,,,,
,10020200024,LPF12-100AFR,CA AGED,2.00,,,,
,10020200024,LPF12-100AFR(T13),Califonia,36.00,,,,
,10020200024,LPF12-100AFR(T13),Dallas,67.00,,,,
,10020200311,LPF12-150BFR(T13),Califonia,109.00,,,,
,10020200430,LPF12-55FR(T6),Califonia,124.00,,,,
,10020200430,LPF12-55FR(T6),Dallas,119.00,,,,
,10020201095,LPF12-100A(T13),Califonia,155.00,,,,
,10020201095,LPF12-100A(T13),Dallas,163.00,,,,
,10020400436,HXP12-540FR,CA AGED,3.00,,,,
,10020400436,HXP12-540FR(T8),CA AGED,9.00,,,,
,10020400436,HXP12-540FR(T8),TX AGED,16.00,,,,
,10020400595,HXP12-540FR,CA AGED,343.00,,,,
,10020400595,HXP12-540FR,TX AGED,11.00,,,,
,10040100233,PLH210FT(A)(T8),Califonia,264.00,,,,
,10040100233,PLH210FT(A)(T8),Dallas,222.00,,,,
,10040100234,PLH190FT(A)(T8),Califonia,105.00,,,,
,10040100234,PLH190FT(A)(T8),Dallas,166.00,,,,
,10040100236,PLH150FT(A)(T8),Califonia,161.00,,,,
,10040100236,PLH150FT(A)(T8),TX AGED,1.00,,,,
,10040100236,PLH150FT(A)(T8),Dallas,342.00,,,,
,10040100237,PLH170FT(A)(T8),TX AGED,38.00,,,,
,10040100237,PLH170FT(A)(T8),Dallas,68.00,,,,
,10040100239,PLH100FT(A)(T8),Califonia,80.00,,,,
,10040100239,PLH100FT(A)(T8),Dallas,155.00,,,,
,10040100255,PLH40FT,CA AGED,69.00,,,,
,10040100255,PLH40FT,TX AGED,14.00,,,,
,10040100256,PLH62FT,Califonia,5.00,,,,
,10040100256,PLH62FT T6(M6),TX AGED,3.00,,,,
,10040100330,BRACKET-12LFT195-2FR,Califonia,144.00,,,,
,10040100330,BRACKET-12LFT195-2FR,Dallas,300.00,,,,
,10040100453,BRACKET - 12LFT150-3 - FRONT,Califonia,700.00,,,,
,10040200172,PLS-G31-103T,CA AGED,138.00,,,,
,10040200173,PLF12-186FT,CA AGED,54.00,,,,
,10040500019,PLC+C180FT(T8),Dallas,50.00,,,,
,10040500019,PLC+C 180FT(T8),Califonia,64.00,,,,
